id,tc
Al0.24Si0.76V3-MP-mp-2567-synth_doped,11.2
Al0.25Ti0.525V0.255-MP-mp-999068-synth_doped,0.0
Al0.25V0.75-MP-mp-1387,16.9
Al0.27La0.73-MP-mp-1084828-synth_doped,3.82
Al0.28Mg0.18-MP-mp-1210739-synth_doped,1.63
Al0.29B2Mg0.71-MP-mp-1207086-synth_doped,24.0
Al0.2B2Mg0.8-MP-mp-1222150,28.71
Al0.2B5Mo1.8-MP-mp-7229-synth_doped,5.7
Al0.2Ca1Ga0.8Si1-MP-mp-1227042-synth_doped,3.24
Al0.2La0.8-MP-mp-1084828-synth_doped,4.43
Al0.2Nb3Sn0.8-MP-mp-1326-synth_doped,16.85
Al0.308V0.692-MP-mp-1387-synth_doped,0.0
Al0.32La0.68-MP-mp-1084828-synth_doped,3.23
Al0.33Ga0.67Nb3-MP-mp-1220348-synth_doped,18.1
Al0.35Ga0.65Nb3-MP-mp-1220348-synth_doped,18.1
Al0.39Ge0.61Nb3-MP-mp-1220344-synth_doped,7.3
Al0.39Nb3Sn0.61-MP-mp-1220362-synth_doped,14.1
Al0.3Ba2Cu2La2Ti1.7O10.86-MP-mp-1227852-synth_doped,0.0
Al0.3Cr0.7-MP-mp-1699-synth_doped,0.0
Al0.3Ga0.7V3-MP-mp-1228807-synth_doped,13.9
Al0.3Ga2.7Pd2U1-MP-mp-20899-synth_doped,0.0
Al0.3Ge0.7Nb3-MP-mp-1198302-synth_doped,9.1
Al0.3In0.7La3-MP-mp-20909-synth_doped,9.42
Al0.3Nb3Sn0.7-MP-mp-1326-synth_doped,15.775
Al0.402V0.598-MP-mp-1228006-synth_doped,0.0
Al0.4Nb3Sn0.6-MP-mp-1220362-synth_doped,15.4
Al0.55Ge0.45Nb3-MP-mp-1220344-synth_doped,11.7
Al0.5B2Mg0.5-MP-mp-1207086,12.9
Al0.5Ga0.5Nb3-MP-mp-1220348,18.75
Al0.5Ga0.5V3-MP-mp-1228807,12.9
Al0.5Ge0.5Th2-MP-mp-1217290,0.21
Al0.5Nb3Sn0.5-MP-mp-1220362,16.0
Al0.61Mg0.39-MP-mp-1222013-synth_doped,0.85
Al0.62Ge0.38Nb3-MP-mp-1220344-synth_doped,17.2
Al0.66Ge0.34Nb3-MP-mp-1220344-synth_doped,20.4
Al0.67Ga0.33Nb3-MP-mp-1220348-synth_doped,18.7
Al0.69B2Mg0.31-MP-mp-1207086-synth_doped,11.1
Al0.6B2Mg0.4-MP-mp-1207086-synth_doped,8.925
Al0.6Ge0.4Nb3-MP-mp-1220344-synth_doped,19.7
Al0.6Mg0.4-MP-mp-1222013-synth_doped,1.2775
Al0.6Nb3Sn0.4-MP-mp-1220362-synth_doped,13.6
Al0.71Ge0.29Nb3-MP-mp-1220344-synth_doped,20.7
Al0.72Nb3.28-MP-mp-796-synth_doped,6.2
Al0.75Ge0.25Nb3-MP-mp-1220344-synth_doped,20.0
Al0.76Ge0.24Nb3-MP-mp-1220344-synth_doped,20.425
Al0.77Ge0.23Nb3-MP-mp-1220344-synth_doped,20.75
Al0.7Be0.3Nb3-MP-mp-796-synth_doped,14.0
Al0.7Ge0.3Nb3-MP-mp-1220344-synth_doped,18.9
Al0.81Ge0.19Nb3-MP-mp-796-synth_doped,17.6
Al0.83Ge0.17Nb3-MP-mp-796-synth_doped,19.6
Al0.85B2Mg0.15-MP-mp-944-synth_doped,0.0
Al0.8B0.2Nb3-MP-mp-796-synth_doped,17.8
Al0.8Be0.2Nb3-MP-mp-796-synth_doped,17.0
Al0.8Ca1Ga0.2Si1-MP-mp-3173-synth_doped,5.6
Al0.8Ca1Si1.2-MP-mp-3173-synth_doped,4.05
Al0.8Ga0.2Nb3-MP-mp-796-synth_doped,18.395
Al0.8Ge0.2Nb3-MP-mp-1220344-synth_doped,20.375
Al0.8In0.2Nb3-MP-mp-796-synth_doped,18.1
Al0.8Nb3Sn0.2-MP-mp-1220362-synth_doped,14.6
Al0.8Nb3Zn0.2-MP-mp-796-synth_doped,17.7
Al0.907Ga0.093Nb3-MP-mp-796-synth_doped,19.1
Al0.91Ge0.09Nb3-MP-mp-796-synth_doped,19.8
Al0.924Nb3Se0.076-MP-mp-796-synth_doped,17.6
Al0.927Ga0.073Nb3-MP-mp-796-synth_doped,19.2
Al0.935Nb3Si0.065-MP-mp-796-synth_doped,18.4
Al0.93Ge0.07Nb3-MP-mp-796-synth_doped,20.0
Al0.945Nb3Si0.055-MP-mp-796-synth_doped,18.4
Al0.94Ge0.06Nb3-MP-mp-796-synth_doped,20.0
Al0.94Nb3Se0.06-MP-mp-796-synth_doped,17.8
Al0.952Nb3Se0.048-MP-mp-796-synth_doped,18.0
Al0.956Nb3Si0.044-MP-mp-796-synth_doped,18.5
Al0.95B0.05Nb3-MP-mp-796-synth_doped,19.1
Al0.95Ba1Si1.05-MP-mp-13149-synth_doped,2.8
Al0.95Be0.05Nb3-MP-mp-796-synth_doped,19.700000000000003
Al0.95Ga0.05Nb3-MP-mp-796-synth_doped,19.2
Al0.95Ge0.05Nb3-MP-mp-796-synth_doped,20.0
Al0.964Nb3Si0.036-MP-mp-796-synth_doped,18.4
Al0.967Ga0.033Nb3-MP-mp-796-synth_doped,19.0
Al0.967Nb3Se0.033-MP-mp-796-synth_doped,18.1
Al0.96Ge0.04Nb3-MP-mp-796-synth_doped,19.8
Al0.975Nb3Si0.025-MP-mp-796-synth_doped,18.5
Al0.97Ge0.03Nb3-MP-mp-796-synth_doped,19.6
Al0.983Ga0.017Nb3-MP-mp-796-synth_doped,18.8
Al0.985Nb3Si0.015-MP-mp-796-synth_doped,18.6
Al0.98Ge0.02Nb3-MP-mp-796-synth_doped,19.3
Al0.98Nb3Se0.02-MP-mp-796-synth_doped,18.4
Al0.991Ge0.009Nb3-MP-mp-796-synth_doped,19.0
Al0.998Mn0.002-MP-mp-1104165-synth_doped,0.262
Al0.9B0.1Nb3-MP-mp-796-synth_doped,19.8
Al0.9Be0.1Nb3-MP-mp-796-synth_doped,19.8
Al0.9Ca1Ga0.1Si1-MP-mp-3173-synth_doped,6.54
Al0.9Ca1Si1.1-MP-mp-3173-synth_doped,5.57
Al0.9In0.1Nb3-MP-mp-796-synth_doped,18.3
Al0.9Nb3Sb0.1-MP-mp-796-synth_doped,18.06
Al0.9Nb3Se0.1-MP-mp-796-synth_doped,17.6
Al0.9Nb3Sn0.1-MP-mp-796-synth_doped,16.1
Al0.9Nb3Zn0.1-MP-mp-796-synth_doped,18.1
Al1-MP-mp-1183144,1.254033333
Al1.1Ca1Si0.9-MP-mp-3173-synth_doped,6.63
Al1.2Ca1Si0.8-MP-mp-3173-synth_doped,5.21
Al1.825La1Si0.175-MP-mp-2694-synth_doped,0.0
Al1.85La1Si0.15-MP-mp-2694-synth_doped,0.0
Al1.995La1Si0.005-MP-mp-2694-synth_doped,2.9
Al11La3-MP-mp-16505,0.0
Al12Mo1-MP-mp-550,0.0
Al12Re1-MP-mp-1648,0.0
Al13Os4-MP-mp-567929,5.4
Al13Ru4-MP-mp-17880,0.0
Al1Au2Sc1-MP-mp-10873,4.4
Al1Au4-MP-mp-1490,0.55
Al1B2-MP-mp-944,0.0
Al1B4Yb1-MP-mp-1191244,0.08
Al1Ba1Ge1-MP-mp-13272,6.3
Al1Ba1Si1-MP-mp-13149,0.0
Al1Ba1Sn1-MP-mp-1227950,2.9
Al1C1Cr2-MP-mp-9956,0.0
Al1C1La3-MP-mp-10600,0.0
Al1C1Ni3-MP-mp-1207084,0.0
Al1C1Ti3-MP-mp-3271,0.0
Al1C1V2-MP-mp-1025497,0.0
Al1C1Y3-MP-mp-4448,0.0
Al1Ca1Si1-MP-mp-570150,6.183529412
Al1Ce1Rh1-MP-mp-3344,0.0
Al1Cr0.3Nb2.7-MP-mp-796-synth_doped,14.1
Al1Cu1-MP-mp-2500,3.45
Al1Cu1Zr1-MP-mp-1215318,0.0
Al1Cu2Zr1-MP-mp-3736,0.0
Al1Gd1Rh1-MP-mp-1212705,0.0
Al1Ge1-MP-mp-1190320-synth_doped,5.5
Al1Ge1Na1-MP-mp-7400,0.0
Al1Ge1Sr1-MP-mp-13311,6.7
Al1Ge3Y2-MP-mp-28997,4.5
Al1Hf0.015Nb2.985-MP-mp-796-synth_doped,18.0
Al1Hf0.081Nb2.919-MP-mp-796-synth_doped,16.5
Al1Hf0.15Nb2.85-MP-mp-796-synth_doped,14.4
Al1Hf0.75Pd2Y0.25-MP-mp-16501-synth_doped,3.2
Al1Hf1Ni2-MP-mp-5748,0.37
Al1Hf1Pd2-MP-mp-16501,3.6216666665
Al1La1-MP-mp-12684,0.0
Al1La1Rh1-MP-mp-1211543,2.4
Al1La3-MP-mp-1084828,4.9833333335
Al1Lu2-MP-mp-16508-synth_doped,0.0
Al1Lu3-MP-mp-973266,0.0
Al1Mg1Si1-MP-mp-4499,6.0
Al1Mg4Si3-MP-mp-1198317,5.2
Al1Mo0.15Nb2.85-MP-mp-796-synth_doped,14.45
Al1Mo0.225Nb2.775-MP-mp-796-synth_doped,13.8
Al1Mo0.3Nb2.7-MP-mp-796-synth_doped,11.85
Al1Mo1.5Nb1.5-MP-mp-1220636,4.9
Al1Mo1.8Nb1.2-MP-mp-1220636-synth_doped,4.2
Al1Mo3-MP-mp-259,0.58
Al1N1-MP-mp-661,1.55
Al1Na1Si1-MP-mp-27335,7.2
Al1Nb0.1Pd2Zr0.9-MP-mp-541047-synth_doped,2.1
Al1Nb1Ni2-MP-mp-4813,1.075
Al1Nb2.706V0.294-MP-mp-796-synth_doped,15.6
Al1Nb2.739Ta0.261-MP-mp-796-synth_doped,15.4
Al1Nb2.73Ti0.27-MP-mp-796-synth_doped,11.5
Al1Nb2.778Ti0.222-MP-mp-796-synth_doped,13.0
Al1Nb2.7V0.3-MP-mp-796-synth_doped,15.4
Al1Nb2.859V0.141-MP-mp-796-synth_doped,17.2
Al1Nb2.859Zr0.141-MP-mp-796-synth_doped,13.6
Al1Nb2.85Ta0.15-MP-mp-796-synth_doped,16.8
Al1Nb2.85W0.15-MP-mp-796-synth_doped,15.2
Al1Nb2.88Ti0.12-MP-mp-796-synth_doped,15.0
Al1Nb2.895W0.105-MP-mp-796-synth_doped,16.0
Al1Nb2.917Ti0.083-MP-mp-796-synth_doped,16.0
Al1Nb2.91Zr0.09-MP-mp-796-synth_doped,14.6
Al1Nb2.927Zr0.073-MP-mp-796-synth_doped,14.8
Al1Nb2.94Ta0.06-MP-mp-796-synth_doped,17.7
Al1Nb2.94W0.06-MP-mp-796-synth_doped,17.2
Al1Nb2.973Zr0.027-MP-mp-796-synth_doped,16.6
Al1Nb2.976Ti0.024-MP-mp-796-synth_doped,17.7
Al1Nb2.97W0.03-MP-mp-796-synth_doped,18.0
Al1Nb2.97Zr0.03-MP-mp-796-synth_doped,17.4
Al1Nb2.993Zr0.007-MP-mp-796-synth_doped,17.6
Al1Nd1Rh1-MP-mp-1209843,0.0
Al1Ni2Ta1-MP-mp-5921,0.0
Al1Ni2Ti1-MP-mp-7187,0.0
Al1Ni2V1-MP-mp-10899,0.0
Al1Ni2Zr1-MP-mp-3944,0.69
Al1Os1-MP-mp-875,0.39
Al1Pd2Y0.1Zr0.9-MP-mp-541047-synth_doped,0.0
Al1Pd2Y1-MP-mp-1078242,0.0
Al1Pd2Zr1-MP-mp-541047,3.3
Al1Pr1Rh1-MP-mp-1209554,0.0
Al1Pt1-MP-mp-10904,0.0
Al1Re1-MP-mp-1228815,0.0
Al1Sb1-MP-mp-2624,2.8
Al1Sc3-MP-mp-862259,0.0
Al1Si1Sr1-MP-mp-3698,4.75
Al1Th2-MP-mp-1651,0.045
Al1Y1-MP-mp-11228,0.0
Al1Y2-MP-mp-11230,0.0
Al1Y3-MP-mp-30338,0.0
Al2.06Cu1-MP-mp-10886-synth_doped,0.65
Al2.7Ga0.3Pd2U1-MP-mp-4561-synth_doped,0.52
Al2.85Ga0.15Pd2U1-MP-mp-4561-synth_doped,1.15
Al2.94Ga0.06Pd2U1-MP-mp-4561-synth_doped,1.51
Al2.97Ga0.03Pd2U1-MP-mp-4561-synth_doped,1.64
Al2.97Pd2U1-MP-mp-4561-synth_doped,0.0
Al2.98Ni2U1-MP-mp-2903-synth_doped,1.155
Al20.3V2-MP-mp-16722-synth_doped,1.49
Al20La1V2-MP-mp-1195666,0.0
Al20Pr1Ti2-MP-mp-1204502,0.19
Al20Pr1V2-MP-mp-1204963,0.029666667
Al28Ca24O66-MP-mp-532016,0.195
Al2Au1-MP-mp-2647,0.0475
Al2C1Mo3-MP-mp-18093,9.61
Al2C1Nb3-MP-mp-1190604,0.0
Al2C1Ta3-MP-mp-1190760,0.0
Al2Ca1-MP-mp-2404,0.0
Al2Ca1Si2-MP-mp-7704,0.0
Al2Ce1-MP-mp-2088,0.0
Al2Ce1Pd5-MP-mp-1025445,0.735
Al2Cu1-MP-mp-985806,1.02
Al2Gd0.001La0.999-MP-mp-2694-synth_doped,2.78
Al2Gd0.002La0.998-MP-mp-2694-synth_doped,2.42
Al2Gd0.003La0.997-MP-mp-2694-synth_doped,1.89
Al2Gd0.004La0.996-MP-mp-2694-synth_doped,1.38
Al2Gd0.005La0.995-MP-mp-2694-synth_doped,0.932
Al2La0.988Tb0.012-MP-mp-2694-synth_doped,0.94
Al2La0.991Tb0.009-MP-mp-2694-synth_doped,1.425
Al2La0.992Tb0.008-MP-mp-2694-synth_doped,1.61
Al2La0.994Tb0.006-MP-mp-2694-synth_doped,1.996
Al2La0.996Tb0.004-MP-mp-2694-synth_doped,2.4
Al2La1-MP-mp-2694,2.7242142855
Al2Lu1-MP-mp-1234,0.0
Al2Lu1Pd5-MP-mp-1025564,0.0
Al2Mg2-MP-mp-1039141,0.84
Al2Mg3-MP-mp-2151-synth_doped,0.0
Al2N1Nb3-MP-mp-1191953,0.65
Al2Np1Pd5-MP-mp-569227,4.95
Al2Os1-MP-mp-7188,0.0
Al2Pd5Pu1-MP-mp-1091385,0.0
Al2Pt1-MP-mp-1502,0.343333333
Al2Sc1-MP-mp-813,0.0
Al2Si2U1-MP-mp-1216639-synth_doped,1.34
Al2Th1-MP-mp-669,0.0
Al2Th3-MP-mp-1651-synth_doped,2.6
Al2U1-MP-mp-569744,0.0
Al2Y1-MP-mp-2322,0.0
Al2Y3-MP-mp-16723,0.0
Al2Yb1-MP-mp-969,0.0
Al3.05Ni1.95U1-MP-mp-2903-synth_doped,0.16
Al3Ca2Si4-MP-mp-7704-synth_doped,6.2
Al3Gd0.01Pd2U0.99-MP-mp-4561-synth_doped,1.16
Al3Gd0.05Pd2U0.95-MP-mp-4561-synth_doped,0.0
Al3La0.15Pd2U0.85-MP-mp-4561-synth_doped,1.2
Al3La0.1Pd2U0.9-MP-mp-4561-synth_doped,0.0
Al3La0.3Pd2U0.7-MP-mp-4561-synth_doped,1.2
Al3La1Pd2-MP-mp-30815,0.85
Al3Nb1-MP-mp-1842,0.0
Al3Nd1Pd2-MP-mp-12734,0.0
Al3Ni1.98U1-MP-mp-2903-synth_doped,1.13
Al3Ni2U0.98-MP-mp-2903-synth_doped,1.145
Al3Ni2U1-MP-mp-2903,1.021
Al3Os2-MP-mp-7188-synth_doped,0.0
Al3Pd1.98U1-MP-mp-4561-synth_doped,1.2
Al3Pd2Th0.02U0.98-MP-mp-4561-synth_doped,1.97
Al3Pd2Th0.1U0.9-MP-mp-4561-synth_doped,1.28
Al3Pd2U0.8Y0.2-MP-mp-4561-synth_doped,0.0
Al3Pd2U0.98Y0.02-MP-mp-4561-synth_doped,0.0
Al3Pd2U0.99-MP-mp-4561-synth_doped,1.94
Al3Pd2U0.99Y0.01-MP-mp-4561-synth_doped,1.11
Al3Pd2U1-MP-mp-4561,1.864
Al3Pd4Si1-MP-mp-1228909,0.0
Al3Ta1-MP-mp-869,0.0
Al3Th1-MP-mp-1306,0.75
Al3Ti1-MP-mp-542915,0.0
Al3Tl1-MP-mp-983584,0.75
Al3U1-MP-mp-1723,0.0
Al3V1-MP-mp-2554,0.0
Al3Yb1-MP-mp-1259,0.94
Al43Nb4Y6-MP-mp-1207860,0.86
Al43Ta4Y6-MP-mp-1207857,0.68
Al4C3-MP-mp-1591,0.0
Al4Ca1-MP-mp-1749,0.0
Al4Cu9-MP-mp-593,0.0
Al4La1-MP-mp-959-synth_doped,0.0
Al4Np1-MP-mp-16520,0.0
Al4U1-MP-mp-574122,0.0
Al5Mo1-MP-mp-568607,0.0
Al5Re24-MP-mp-1192984,3.35
Al5Y2-MP-mp-865527-synth_doped,0.0
Al6Re1-MP-mp-16528,1.85
As0.05Nb3Sn0.95-MP-mp-1326-synth_doped,18.19
As0.15Fe1La1P0.85O1-MP-mp-510668-synth_doped,11.67
As0.15Nb3Sn0.85-MP-mp-1326-synth_doped,17.98
As0.1Fe1La1P0.9O1-MP-mp-510668-synth_doped,5.96
As0.25Fe1La1P0.75O1-MP-mp-510668-synth_doped,7.52
As0.25Se0.75Y1-MP-mp-38494,0.78
As0.2Ba1Fe2P1.8-MP-mp-4883-synth_doped,0.0
As0.2Ba1Sb1.8Ti2O1-MP-mp-1070806-synth_doped,0.48
As0.2Fe1La1P0.8O1-MP-mp-510668-synth_doped,11.42
As0.3Fe1La1P0.7O1-MP-mp-510668-synth_doped,0.0
As0.5In1Te0.5-MP-mp-1224061,0.44
As0.7Ce1Fe1P0.3O1-MP-mp-1079570-synth_doped,4.0
As0.8Fe2P1.2Sr1-MP-mp-1218282-synth_doped,3.13
As0.9Ce1Fe1P0.1O1-MP-mp-1079570-synth_doped,0.0
As1-MP-mp-11,1.825
As1.22Fe2P0.78Sr1-MP-mp-1218282-synth_doped,27.35
As1.2Fe2P0.8Sr1-MP-mp-1218282-synth_doped,27.0
As1.3Fe2P0.7Sr1-MP-mp-1218282-synth_doped,28.475
As1.74Eu1Fe2P0.26-MP-mp-20890-synth_doped,0.0
As1.792Ba1Ni2P0.208-MP-mp-568280-synth_doped,3.24
As1.7Eu1Fe2P0.3-MP-mp-20890-synth_doped,23.0
As1.816Ba1Ni2P0.184-MP-mp-568280-synth_doped,3.27
As1.846Ba1Ni2P0.154-MP-mp-568280-synth_doped,3.28
As1.89Eu1Fe2P0.11-MP-mp-20890-synth_doped,0.0
As1.8Fe2P0.2Sr1-MP-mp-4488-synth_doped,0.0
As1.902Ba1Ni2P0.098-MP-mp-568280-synth_doped,0.763
As1.972Ba1Ni2P0.028-MP-mp-568280-synth_doped,0.634
As12Fe4La1-MP-mp-22470,0.0
As12La1Os4-MP-mp-1105556,3.2
As12Pr1Ru4-MP-mp-1179919,2.3825
As1C1Nb2-MP-mp-9989,2.0
As1Ca1Co0.15F1Fe0.85-MP-mp-1079859-synth_doped,20.8
As1Ca1Co0.1F1Fe0.9-MP-mp-1079859-synth_doped,22.93333333
As1Ca1Co0.26F1Fe0.74-MP-mp-1079859-synth_doped,3.49
As1Ca1Co0.2F1Fe0.8-MP-mp-1079859-synth_doped,16.5
As1Ca1Cr0.1F1Fe0.9-MP-mp-1079859-synth_doped,0.0
As1Ca1Cu0.05F1Fe0.95-MP-mp-1079859-synth_doped,0.0
As1Ca1F1Fe0.85Ni0.15-MP-mp-1079859-synth_doped,8.72
As1Ca1F1Fe0.85Rh0.15-MP-mp-1079859-synth_doped,18.4
As1Ca1F1Fe0.8Ni0.2-MP-mp-1079859-synth_doped,3.92
As1Ca1F1Fe0.92Rh0.08-MP-mp-1079859-synth_doped,22.2
As1Ca1F1Fe0.95Ni0.05-MP-mp-1079859-synth_doped,0.0
As1Ca1F1Fe0.95Rh0.05-MP-mp-1079859-synth_doped,3.81
As1Ca1F1Fe0.9Mn0.1-MP-mp-1079859-synth_doped,0.0
As1Ca1F1Fe0.9Ni0.1-MP-mp-1079859-synth_doped,15.4
As1Ce1Co0.15Fe0.85O1-MP-mp-605060-synth_doped,5.0
As1Ce1Co0.1Fe0.9O1-MP-mp-605060-synth_doped,10.0
As1Ce1F0.02Fe1O0.98-MP-mp-605060-synth_doped,0.0
As1Ce1F0.04Fe1O0.96-MP-mp-605060-synth_doped,0.0
As1Ce1F0.05Fe1O0.95-MP-mp-605060-synth_doped,11.8
As1Ce1F0.06Fe1O0.94-MP-mp-605060-synth_doped,0.0
As1Ce1F0.08Fe1O0.92-MP-mp-605060-synth_doped,27.6
As1Ce1F0.11Fe1O0.89-MP-mp-605060-synth_doped,47.0
As1Ce1F0.12Fe1O0.88-MP-mp-605060-synth_doped,43.5
As1Ce1F0.16Fe1O0.84-MP-mp-605060-synth_doped,40.85
As1Ce1F0.1Fe1O0.9-MP-mp-605060-synth_doped,36.33333333
As1Ce1F0.2Fe1O0.8-MP-mp-605060-synth_doped,40.4
As1Ce1F0.3Fe1O0.7-MP-mp-605060-synth_doped,46.0
As1Ce1Fe1O0.7-MP-mp-605060-synth_doped,40.2
As1Ce1Fe1O0.85-MP-mp-605060-synth_doped,42.6
As1Ce1Fe1O1-MP-mp-605060,0.0
As1Co0.005Fe0.995Na1-MP-mp-22152-synth_doped,9.81
As1Co0.019Fe0.981Na1-MP-mp-22152-synth_doped,19.3
As1Co0.021Fe0.979Na1-MP-mp-22152-synth_doped,19.4
As1Co0.023Fe0.977Na1-MP-mp-22152-synth_doped,15.7
As1Co0.025Fe0.975Li1-MP-mp-21471-synth_doped,13.4
As1Co0.025Fe0.975Na1-MP-mp-22152-synth_doped,21.05
As1Co0.025Fe0.975Pr1O1-MP-mp-22491-synth_doped,0.0
As1Co0.025Fe0.975Sm1O1-MP-mp-20349-synth_doped,0.0
As1Co0.028Fe0.972Na1-MP-mp-22152-synth_doped,20.1
As1Co0.02Fe0.98Na1-MP-mp-22152-synth_doped,18.8
As1Co0.03Fe0.97Na1-MP-mp-22152-synth_doped,21.13333333
As1Co0.05Fe0.95Li1-MP-mp-21471-synth_doped,10.29
As1Co0.05Fe0.95Na1-MP-mp-22152-synth_doped,16.3
As1Co0.05Fe0.95Pr1O1-MP-mp-22491-synth_doped,6.14
